Id,Label,Energy,Community,pi,mr,qf,qb,t,s,evec
5816,5816,None,3,4.75373922218e-24,1.5534702191e-22,1.0,1.0661529343e-20,None,None,0.0
5817,5817,None,3,2.19644794446e-21,7.17775273323e-20,1.0,1.0661529343e-20,None,None,0.0
5818,5818,None,6,5.00143302348e-26,1.58818708751e-13,0.999999998964,1.03599851325e-09,None,None,0.0
5819,5819,None,3,1.5822886881e-22,5.17074715312e-21,1.0,1.0661529343e-20,None,None,0.0
5820,5820,None,3,1.74183076199e-24,5.68789021103e-23,1.0,1.06536193863e-20,None,None,0.0
5821,5821,None,7,1.11675969289e-14,1.23477330124e-22,3.6072764633e-30,1.0,None,None,0.0
5822,5822,None,7,3.68137474137e-15,1.94435484478e-22,1.72312755204e-29,1.0,None,None,0.0
5823,5823,None,7,5.07295832161e-16,3.9348823458e-22,2.53059348373e-28,1.0,None,None,0.0
5824,5824,None,7,1.8573383602e-22,7.29501161155e-17,1.28140639589e-16,1.0,None,None,0.0
5825,5825,None,7,9.92701537878e-17,7.69997210386e-23,2.53059348373e-28,1.0,None,None,0.0
5826,5826,None,4,4.05441302574e-24,1.45178662437e-22,1.0,1.1682256315e-20,None,None,0.0
5827,5827,None,4,3.44719114299e-21,1.23434784715e-19,1.0,1.16821862781e-20,None,None,0.0
5828,5828,None,4,2.12699308518e-20,7.61624455031e-19,1.0,1.1682256315e-20,None,None,0.0
5829,5829,None,7,6.05383521281e-19,3.6803990991e-26,1.98342712773e-29,1.0,None,None,0.0
5830,5830,None,7,6.82333342814e-16,6.96892013532e-24,3.33212144625e-30,1.0,None,None,0.0
5831,5831,None,7,1.53205884618e-13,8.17961733269e-21,1.74184484683e-29,1.0,None,None,0.0
5832,5832,None,7,1.19086485052e-17,6.29348641285e-25,1.72417264463e-29,1.0,None,None,0.0
5833,5833,None,7,5.86362780335e-23,6.38349366627e-17,3.55176288502e-16,1.0,None,None,0.0
5834,5834,None,7,1.11743442258e-13,5.9054210498e-21,1.72417264463e-29,1.0,None,None,0.0
5835,5835,None,7,1.91210915045e-16,1.01051206214e-23,1.72417264463e-29,1.0,None,None,0.0
5836,5836,None,4,2.50397879263e-22,5.97943962035e-21,1.0,7.79079481922e-21,None,None,0.0
5837,5837,None,4,9.57335402868e-24,2.28492070352e-22,1.0,7.7867985872e-21,None,None,0.0
5838,5838,None,4,5.09503501549e-20,1.21668179971e-18,1.0,7.79079481922e-21,None,None,0.0
5839,5839,None,4,4.41162625395e-23,1.05348547243e-21,1.0,7.79079481922e-21,None,None,0.0
5840,5840,None,3,7.29085036222e-27,8.51839315749e-23,1.0,3.81181157114e-18,None,None,0.0
5841,5841,None,3,6.66104401917e-24,3.89484577925e-19,1.0,1.90765524346e-17,None,None,0.0
5842,5842,None,3,2.90952287147e-23,9.49217340353e-22,1.0,1.0643778205e-20,None,None,0.0
5843,5843,None,3,3.31417596181e-28,1.08123339493e-26,1.0,1.0643778205e-20,None,None,0.0
5844,5844,None,3,1.54932196319e-24,5.05925915449e-23,1.0,1.06536193863e-20,None,None,0.0
5845,5845,None,3,5.12041792219e-24,1.67051083504e-22,1.0,1.0643778205e-20,None,None,0.0
5846,5846,None,7,2.61259445561e-18,2.97969369616e-26,3.72093042556e-30,1.0,None,None,0.0
5847,5847,None,4,1.49037923789e-16,3.46540898398e-15,1.0,7.58594401743e-21,None,None,0.0
5848,5848,None,4,4.1214631466e-17,9.6029958832e-16,1.0,7.60163915679e-21,None,None,0.0
5849,5849,None,4,8.00449985157e-16,1.86119512354e-14,1.0,7.58594401743e-21,None,None,0.0
5850,5850,None,0,1.50388121165e-23,1.49682144622e-10,3.24719517605e-09,0.999999996753,None,None,0.0
5851,5851,None,6,1.04379819999e-26,3.31449183966e-14,0.999999998964,1.03598230914e-09,None,None,0.0
5852,5852,None,5,1.94360619506e-19,6.9789331678e-18,1.0,1.17147410484e-20,None,None,0.0
5853,5853,None,5,3.58066133971e-20,1.28571293145e-18,1.0,1.17147410484e-20,None,None,0.0
5854,5854,None,5,8.42087240453e-23,3.02369409376e-21,1.0,1.17147410484e-20,None,None,0.0
5855,5855,None,5,1.10846425368e-18,3.98017765378e-17,1.0,1.17147410484e-20,None,None,0.0
5856,5856,None,5,1.60516431657e-20,5.7636853171e-19,1.0,1.17147410484e-20,None,None,0.0
5857,5857,None,5,9.25817707342e-21,3.32434621867e-19,1.0,1.17147410484e-20,None,None,0.0
5858,5858,None,4,1.22457627322e-22,2.86729625478e-21,1.0,7.63903773309e-21,None,None,0.0
5859,5859,None,4,4.01819560329e-19,9.39962239679e-18,1.0,7.6318752285e-21,None,None,0.0
5860,5860,None,4,3.38586129288e-16,2.32381735104e-15,1.0,2.23915808436e-21,None,None,0.0
5861,5861,None,4,8.71718188252e-22,2.03917942652e-20,1.0,7.6318752285e-21,None,None,0.0
5862,5862,None,4,3.39104728284e-23,8.09358362804e-22,1.0,7.7867985872e-21,None,None,0.0
5863,5863,None,3,7.25356990127e-25,1.34399351266e-19,1.0,6.04501384833e-17,None,None,0.0
5864,5864,None,4,1.06042130148e-25,3.82392157303e-24,1.0,1.17647434653e-20,None,None,0.0
5865,5865,None,1,2.1686437307e-34,1.04505321289e-13,0.804601465149,0.195398534851,None,None,0.0
5866,5866,None,4,5.45795848049e-23,1.3026784859e-21,1.0,7.7867985872e-21,None,None,0.0
5867,5867,None,3,4.40551703695e-22,1.57205532965e-20,1.0,1.16418733542e-20,None,None,0.0
5868,5868,None,4,1.27029425168e-28,2.99851369134e-25,1.0,7.70111540684e-19,None,None,0.0
5869,5869,None,3,2.3918029912e-21,8.53485892405e-20,1.0,1.16418733542e-20,None,None,0.0
5870,5870,None,4,9.39567437951e-26,3.38736218093e-24,1.0,1.1762119989e-20,None,None,0.0
5871,5871,None,4,2.27954816183e-19,5.30037354158e-18,1.0,7.58594401743e-21,None,None,0.0
5872,5872,None,1,1.39245249415e-31,6.71012575649e-11,0.804601418581,0.195398581419,None,None,0.0
5873,5873,None,4,2.92561418421e-15,6.80259723155e-14,1.0,7.58594401743e-21,None,None,0.0
5874,5874,None,4,5.58799927287e-19,1.3073114633e-17,1.0,7.63263785123e-21,None,None,0.0
5875,5875,None,4,4.29340367415e-18,1.00444104691e-16,1.0,7.63263785123e-21,None,None,0.0
5876,5876,None,3,3.47287686588e-25,8.17421606991e-24,1.0,7.67907052726e-21,None,None,0.0
5877,5877,None,4,5.27601054463e-26,1.90321681475e-24,1.0,1.1768863871e-20,None,None,0.0
5878,5878,None,3,5.36630303329e-24,1.26308309176e-22,1.0,7.67907052726e-21,None,None,0.0
5879,5879,None,3,1.44694770986e-22,3.40572490157e-21,1.0,7.67907052726e-21,None,None,0.0
5880,5880,None,3,6.88245583902e-21,1.61994459615e-19,1.0,7.67907052726e-21,None,None,0.0
5881,5881,None,3,1.66184768344e-21,3.91154151567e-20,1.0,7.67907052726e-21,None,None,0.0
5882,5882,None,3,1.62894137705e-23,6.08450985117e-22,1.0,1.2186305796e-20,None,None,0.0
