Source,Target,Weight,Type,Energy,t,j,f,fe
273,1025,5.23680115573e-12,directed,None,None,7.48145263348e-47,3.53726424975e-53,8.79679985316e-67
272,1630,5.22478282918e-12,directed,None,None,6.5955731227e-46,3.57850213079e-53,7.75517263104e-66
2345,3055,0.0131243380776,directed,None,None,4.55715600063e-49,3.14292108894e-45,1.4041118815e-57
82,60,0.0209597708353,directed,None,None,5.19497792959e-44,2.10187887969e-32,4.02776206951e-44
3905,1526,0.102145337825,directed,None,None,-6.25063980714e-45,6.92097880624e-41,5.78896435677e-43
1637,37,0.129684730974,directed,None,None,-1.48362509122e-42,1.6625099853e-59,4.33135304934e-63
1630,1025,0.144855610156,directed,None,None,9.08838600126e-33,2.74695367877e-40,1.06862574207e-52
1634,1796,0.0139489439823,directed,None,None,-5.39157065262e-54,5.45050754096e-50,1.28599005833e-52
3478,1634,0.0684227015266,directed,None,None,3.42398514968e-54,5.80188420491e-50,1.28599005854e-52
637,137,0.0913658995493,directed,None,None,-2.8300018263e-53,1.26074298841e-41,6.86699846111e-42
218,325,0.157108698474,directed,None,None,1.92156555427e-33,5.64049507431e-41,2.25940509217e-53
336,678,0.00144403149856,directed,None,None,1.69602942248e-37,1.18172138964e-43,1.99420413964e-57
1401,667,0.121167310153,directed,None,None,1.89940199858e-37,9.76517617942e-44,2.23334294861e-57
1498,1048,0.0238576320279,directed,None,None,3.95564061255e-47,1.57347136735e-35,1.38718008106e-44
1737,1489,0.0280201908933,directed,None,None,-1.70059064741e-45,4.13495146423e-34,1.51648852609e-45
1737,2677,0.00225990756883,directed,None,None,-1.20154074899e-46,3.33495519226e-35,2.28674669945e-46
1626,1068,0.0016682677022,directed,None,None,1.05840591408e-50,9.70726801969e-39,8.50848084028e-48
1068,747,0.0428234903239,directed,None,None,-4.97573960032e-49,1.52118128289e-37,8.42858930862e-48
747,332,0.0244412940399,directed,None,None,-2.24377595125e-46,5.59401873021e-34,1.17272199343e-44
716,1048,0.00016788626135,directed,None,None,-1.94160069028e-47,3.58006475085e-35,2.44051093414e-45
283,721,0.00356608814829,directed,None,None,-2.29481867439e-44,5.04608467986e-33,3.50492205779e-43
87,426,0.00461857572811,directed,None,None,4.90776397023e-47,1.28550133276e-41,1.12478917903e-44
1318,270,0.14817722407,directed,None,None,1.42006954146e-46,1.58110694408e-42,3.60208138994e-45
721,716,0.00916767497379,directed,None,None,1.13875556653e-43,3.00743069334e-32,1.11086196591e-42
325,343,0.0692742378046,directed,None,None,1.72285043831e-34,2.71523170521e-41,2.02575327134e-54
752,759,0.00298806345071,directed,None,None,1.6516248077e-36,1.48741678434e-43,1.94200373726e-56
336,752,0.0373944532094,directed,None,None,7.39702779129e-36,3.06017045028e-42,8.69753507295e-56
759,343,0.109927717001,directed,None,None,8.46899598729e-34,2.12342352009e-41,9.95796947939e-54
27,246,9.05091826295e-05,directed,None,None,2.14468680786e-44,6.0009925017e-41,3.25405984301e-42
522,493,0.042167221302,directed,None,None,1.05737306181e-54,1.41761199923e-43,1.01350902006e-43
493,1171,0.0732856788048,directed,None,None,-1.19576234247e-53,4.19045629512e-43,7.23575895451e-44
1084,445,0.15858210698,directed,None,None,1.46638973591e-42,1.92239605874e-48,6.04430424184e-61
670,2056,0.037788136106,directed,None,None,-1.16364734223e-34,1.28969277509e-50,2.7448544055e-54
186,3904,0.000202809214004,directed,None,None,1.14746513325e-47,4.6509778848e-44,3.57063150888e-45
90,186,0.0347632408685,directed,None,None,-5.47599107483e-45,3.14798910439e-41,3.50610811212e-45
90,6786,0.00024154419173,directed,None,None,9.61062502778e-48,2.18706247403e-43,2.36984673342e-56
3904,1484,0.0828554003951,directed,None,None,2.04235504544e-48,1.21694252128e-43,3.57063150885e-45
920,28,0.153293140532,directed,None,None,1.13165922755e-46,7.90740186279e-43,5.43588598541e-47
1738,965,0.00382234717099,directed,None,None,5.48949308032e-44,1.15343002496e-39,6.49561662401e-48
280,477,0.129063736982,directed,None,None,1.15977153683e-41,2.69348530158e-43,1.86568601887e-43
27,205,0.00318582981307,directed,None,None,1.45535673425e-43,1.9977571704e-39,9.29439227117e-45
205,6252,0.00320501464293,directed,None,None,2.5495395659e-45,1.2054620683e-40,4.81798786684e-54
64,1347,0.029978888803,directed,None,None,8.55990830284e-43,1.53605004726e-38,5.54458099946e-45
572,38,0.119725981657,directed,None,None,-2.73663052975e-42,1.6538932604e-38,1.72310695482e-44
6357,921,0.0971107914057,directed,None,None,2.84521829725e-41,2.24234818937e-37,2.9475758686e-50
148,572,0.0270509879447,directed,None,None,-1.22288333749e-42,1.47049077119e-38,1.07991265599e-44
27,289,0.0591762425465,directed,None,None,1.21386904721e-41,3.71129826171e-38,5.15834710457e-42
965,999,0.0024340674031,directed,None,None,-4.14894228143e-44,2.94535929608e-40,2.16257195988e-48
492,4645,0.0106365780964,directed,None,None,9.37406472053e-44,1.27584206581e-40,9.71131305015e-53
492,4744,0.00153722806556,directed,None,None,3.35925229844e-45,1.84388269705e-41,3.48010803527e-54
492,64,0.0176565963014,directed,None,None,8.17079139358e-45,2.11788303495e-40,2.75277707963e-46
892,4995,0.0281459046543,directed,None,None,3.41149335563e-44,1.23577263525e-40,3.53422959914e-53
892,492,0.0517025039396,directed,None,None,-5.0211691096e-44,2.27004746613e-40,6.43482549758e-47
2296,892,0.0010977038517,directed,None,None,1.43470267767e-44,1.29724575256e-40,3.71452950868e-47
206,6219,0.0260534974161,directed,None,None,2.41835979497e-41,9.76048158855e-38,2.50535598481e-50
4490,692,9.43413285529e-06,directed,None,None,1.05115503176e-41,9.35931672644e-38,1.08897033825e-50
1036,206,0.00589876733245,directed,None,None,1.13247468065e-41,3.54134445716e-38,8.46619292802e-45
1036,4551,0.00347010728334,directed,None,None,2.30404531476e-42,2.08329037255e-38,2.38693088492e-51
2790,1699,0.158785466737,directed,None,None,-5.28532285062e-42,6.60399842127e-43,4.01484447865e-43
63,4840,0.000118536104273,directed,None,None,6.2178521672e-46,1.68186867522e-45,1.18383597987e-57
59,477,0.0259875206016,directed,None,None,9.12436969578e-45,1.31680107786e-43,1.31676628592e-43
317,59,0.124955534461,directed,None,None,-3.06527190111e-46,2.50037350276e-42,2.47983242485e-42
207,475,0.000640718474718,directed,None,None,7.62482059672e-33,1.58740423728e-48,3.74063079017e-50
3179,5337,0.143412319468,directed,None,None,1.0077951077e-41,3.54531068742e-38,1.90427807353e-50
3179,1101,0.000965773591863,directed,None,None,4.33745130733e-44,2.38749882127e-40,8.19583060284e-53
5732,757,0.00324746148095,directed,None,None,3.76409516725e-44,5.69137640235e-40,7.17804599948e-53
5813,246,0.13507316104,directed,None,None,9.65197131134e-44,7.85300791822e-40,1.92855325759e-52
27,3702,0.00445893402624,directed,None,None,7.85864155512e-43,2.79629442776e-39,2.17266440486e-43
370,1998,0.00852702672422,directed,None,None,-1.07520509034e-42,1.77353871277e-38,1.2562771399e-42
27,370,0.116353726906,directed,None,None,9.05314346699e-42,7.29631958122e-38,9.14575663924e-43
27,6522,0.00776799217954,directed,None,None,2.34664978293e-43,4.87109820301e-39,4.43456569185e-52
3702,1998,0.0929478520911,directed,None,None,-8.34560542968e-42,3.83130933152e-38,2.17266423229e-43
3472,3278,0.0506563970125,directed,None,None,-9.12059053478e-42,4.49263280721e-38,1.4735435637e-42
7,90,0.00329565634385,directed,None,None,-3.88056035494e-45,1.39917922712e-40,2.00302149851e-45
7,550,0.000227630950592,directed,None,None,-2.01893296097e-46,1.04181343512e-41,7.54143184304e-43
550,270,0.0909122941645,directed,None,None,1.34939871918e-45,3.00750024763e-41,1.53324541663e-42
2167,2849,0.0251502047602,directed,None,None,3.06360597783e-49,4.23415663708e-45,9.43932056031e-58
837,4842,0.025327060859,directed,None,None,2.50184036283e-47,3.06038397653e-43,7.70600260181e-56
837,920,0.0150848665632,directed,None,None,-1.55580380916e-47,1.82335317343e-43,5.80125468556e-47
5322,2849,6.96916533491e-05,directed,None,None,1.89424942689e-47,1.15690164629e-43,5.83639975792e-56
568,149,0.00439871779361,directed,None,None,3.62997529954e-45,1.72913815351e-41,7.50700185896e-46
150,865,0.00776303108614,directed,None,None,9.5908045564e-45,1.72339183066e-40,2.36490013637e-53
