Id,Label,Energy,Community,pi,mr,qf,qb,t,s,evec
38,38,None,4,0.00034730734359,-1.59471993047,0.723140350853,0.276859649147,0.630364325036,0.173432079187,0.00100200400802
39,39,None,4,4.42911579441e-06,-2.99267746225,0.414959274792,0.585040725208,0.878442370817,0.0409162395768,0.00100200400802
40,40,None,4,1.68536875661e-07,-3.53015369648,0.65379100344,0.34620899656,0.794099173601,0.0950644943317,0.00100200400802
41,41,None,3,0.000436973375011,-1.55800063039,0.279558553884,0.720441446116,0.776296541935,0.136783321799,0.00100200400802
42,42,None,0,0.000147352599039,-2.10690903733,0.605801921248,0.394198078752,0.749039673257,0.0973066160394,0.00100200400802
43,43,None,4,0.000511892944157,-0.379519604361,0.947117700477,0.052882299523,0.833138422559,0.049346199546,0.00100200400802
44,44,None,0,1.6164685916e-06,-0.0985782893069,0.992552230923,0.007447769077,0.673235264731,0.18356090472,0.00100200400802
45,45,None,3,3.1593901651e-06,-1.09155819389,0.095260691528,0.904739308472,0.773306850654,0.0883786896136,0.00100200400802
46,46,None,3,0.000581679473839,-0.531951512003,0.077397122299,0.922602877701,0.75126484838,0.102462852947,0.00100200400802
47,47,None,2,2.50625567447e-05,-2.46817844702,0.369523628105,0.630476371895,0.871115193781,0.0507773107511,0.00100200400802
48,48,None,0,0.000754831003758,-0.464918993885,0.93049885567,0.06950114433,0.945471908044,0.0310280267184,0.00100200400802
49,49,None,2,2.01698003929e-05,-2.46996797656,0.353238937785,0.646761062215,0.773712843388,0.135689571799,0.00100200400802
50,50,None,3,3.49119431443e-06,-0.864059979114,0.074283838,0.925716162,0.682621638756,0.154540119279,0.00100200400802
51,51,None,1,3.09343363839e-07,-1.18740263815,0.08674372659,0.91325627341,0.801695335584,0.104887032617,0.00100200400802
52,52,None,2,3.47302283647e-05,-2.07337447441,0.719253735754,0.280746264246,0.778984051738,0.103361851708,0.00100200400802
53,53,None,3,0.00101184879705,-0.353822342019,0.054251777195,0.945748222805,0.665144440518,0.166582873961,0.00100200400802
54,54,None,0,2.69995134635e-06,-0.121578726251,0.990426512299,0.009573487701,0.896688099025,0.0420433274114,0.00100200400802
55,55,None,1,0.00124509468857,-0.52912487234,0.086610510447,0.913389489553,0.797511999142,0.0638185561109,0.00100200400802
56,56,None,2,8.0859669096e-05,-2.27933972031,0.409979671232,0.590020328768,0.763309992487,0.106039379124,0.00100200400802
57,57,None,0,1.96518455098e-05,-2.39359087006,0.670689256904,0.329310743096,0.68016197781,0.142860229298,0.00100200400802
58,58,None,0,9.68982169542e-05,-1.88878331992,0.713605073009,0.286394926991,0.821199961713,0.0867333804196,0.00100200400802
59,59,None,1,2.55553000299e-05,-0.835010557218,0.086434170257,0.913565829743,0.820910096535,0.0743330753897,0.00100200400802
60,60,None,1,0.000124992535966,-0.750572180912,0.091974463418,0.908025536582,0.739748125054,0.127270705581,0.00100200400802
61,61,None,0,2.5945229668e-06,-0.0955923995779,0.992511832987,0.007488167013,0.766046883335,0.10000003542,0.00100200400802
62,62,None,4,9.92835973471e-05,-0.946202789107,0.883858659529,0.116141340471,0.76351654193,0.091497082716,0.00100200400802
63,63,None,0,0.000216171395521,-1.99595917346,0.616173254823,0.383826745177,0.726646459213,0.125207794836,0.00100200400802
64,64,None,2,4.40420035122e-07,-3.12291226819,0.691366849687,0.308633150313,0.632791553577,0.175636362069,0.00100200400802
65,65,None,0,8.24403995634e-06,-0.109611081912,0.990546989979,0.009453010021,0.94047432874,0.0150377839836,0.00100200400802
66,66,None,4,1.81286176771e-07,-3.78411517598,0.57891916627,0.42108083373,0.797839267077,0.0951160551549,0.00100200400802
67,67,None,2,5.20006236842e-05,-2.29854563908,0.369683714801,0.630316285199,0.774797712879,0.0943461060485,0.00100200400802
68,68,None,2,0.000683980698682,-1.72623973132,0.385432023609,0.614567976391,0.786398362949,0.0572651323083,0.00100200400802
69,69,None,3,8.60854842469e-06,-1.0962618865,0.105027623236,0.894972376764,0.814225176185,0.0817123469931,0.00100200400802
70,70,None,3,0.00258358455824,-0.238812146097,0.041828326855,0.958171673145,0.841548253775,0.044797773488,0.00100200400802
71,71,None,0,0.00269789467066,-0.0444535451899,0.992427627181,0.007572372819,0.717990856418,0.118528656001,0.00100200400802
72,72,None,0,1.28578132089e-05,-0.134747705448,0.987888019941,0.012111980059,0.89476773911,0.0449963625909,0.00100200400802
73,73,None,2,0.00072784772771,-1.66340825644,0.359345014934,0.640654985066,0.68255277416,0.186383025015,0.00100200400802
74,74,None,4,0.000447271675611,-1.45012270403,0.748945401951,0.251054598049,0.602440003438,0.206340291319,0.00100200400802
75,75,None,1,0.0017444829425,-0.383584430491,0.064563047599,0.935436952401,0.780227970163,0.10624919205,0.00100200400802
76,76,None,3,4.5885505988e-05,-1.51737062099,0.186788670495,0.813211329505,0.764503129644,0.0941508294659,0.00100200400802
77,77,None,1,0.00811081266646,-0.374999940907,0.085137095358,0.914862904642,0.918962716961,-0.0230963785595,0.00100200400802
78,78,None,2,1.55668424821e-06,-2.87583006262,0.313046135548,0.686953864452,0.592399695672,0.213550138271,0.00100200400802
79,79,None,0,0.000144759677258,-1.57491584061,0.768050140331,0.231949859669,0.639053301253,0.204145353504,0.00100200400802
80,80,None,3,0.00151934987272,-0.444290026399,0.073928636437,0.926071363563,0.916126758851,0.0204213685239,0.00100200400802
