Source,Target,Weight,Type,Energy,t,j,f,fe
394,3,0.181762185287,directed,None,0.0363524370575,-16.9384317897,4.47458103577e-09,2.9294175167e-10
407,3,0.199434591527,directed,None,0.0398869183054,-7.38581375077,1.0400271698e-08,6.44039579385e-10
3,415,0.183096502072,directed,None,0.0366193004144,-10.2374069125,2.20124729107e-08,6.92429166327e-09
696,3,0.199889902196,directed,None,0.0399779804393,-2.49551111696,1.54755542318e-08,1.95273264078e-09
4,139,0.0901080917564,directed,None,0.0180216183513,3.77502451963,4.53184423088e-06,4.9785162564e-07
4,183,0.17590827104,directed,None,0.0351816542081,0.275336093223,8.61616544477e-06,7.25395608113e-07
4,198,0.0570059266913,directed,None,0.0114011853383,7.33959601084,2.83844529766e-06,2.8444636795e-07
4,375,0.0870470831926,directed,None,0.0174094166385,3.79827919011,4.45281699376e-06,5.6093728631e-07
4,579,0.135707687026,directed,None,0.0271415374052,1.83777480198,6.66168757644e-06,5.75195760206e-07
4,667,0.173934516794,directed,None,0.0347869033589,-0.501819007688,8.4721278484e-06,6.66686197668e-07
4,735,0.177352335069,directed,None,0.0354704670138,0.147010194956,8.36605595808e-06,3.88769728899e-07
4,762,0.0414441943168,directed,None,0.00828883886335,7.76505594608,2.32158985729e-06,4.82274271139e-07
968,4,0.0793952881468,directed,None,0.0158790576294,4.45013468705,9.59329084997e-06,4.18155684595e-06
94,5,0.190240749863,directed,None,0.0380481499726,-3.0031449967,1.42813630256e-05,1.68715865618e-06
5,278,0.186382406066,directed,None,0.0372764812132,-3.33998033478,2.25515917745e-05,4.13754452754e-06
5,313,0.185264956216,directed,None,0.0370529912432,-0.0324112903097,2.14454996209e-05,3.37622006265e-09
382,5,0.177847334288,directed,None,0.0355694668575,-3.85656493427,1.15581369801e-05,1.55467968556e-06
5,422,0.194247859367,directed,None,0.0388495718735,-0.66534634218,2.25946727702e-05,4.66372869848e-07
484,5,0.178120924703,directed,None,0.0356241849406,-1.82621267396,1.55394979786e-05,8.33143211112e-07
559,5,0.187436927402,directed,None,0.0374873854804,-1.62515760925,1.7038807723e-05,9.73376645082e-07
5,871,0.182620822712,directed,None,0.0365241645424,-1.04157881931,2.1256771525e-05,5.00005174022e-07
967,5,0.186105556955,directed,None,0.0372211113911,-0.123175298281,2.11241077119e-05,5.89405936051e-08
6,33,0.196226598126,directed,None,0.0392453196252,-11.1559356841,9.72335971763e-09,1.09672842e-10
147,6,0.0609897559695,directed,None,0.0121979511939,12.9281313412,8.73374469013e-09,3.10283634375e-10
156,6,0.0715008468384,directed,None,0.0143001693677,12.6384496983,9.86613635594e-09,3.59585199603e-10
207,6,0.0878091206077,directed,None,0.0175618241215,11.5994237114,1.09614653591e-08,3.80390092825e-10
675,6,0.0597538092652,directed,None,0.011950761853,14.460928868,9.72928678588e-09,3.60762938476e-10
6,696,0.188729996109,directed,None,0.0377459992217,-3.50348734021,1.03226670505e-08,1.30134902328e-09
35,7,0.209773181958,directed,None,0.0419546363916,-0.875525537961,1.71151426006e-05,5.13836762581e-07
7,304,0.176539342106,directed,None,0.0353078684211,-1.64731213466,1.71268762658e-05,3.38484997294e-06
523,7,0.17102399839,directed,None,0.034204799678,-1.26695271855,1.31419007696e-05,5.97532119251e-07
783,7,0.184067126634,directed,None,0.0368134253267,-3.06454515958,1.08539619287e-05,9.81909790128e-07
914,7,0.179810809439,directed,None,0.0359621618878,0.352081044678,1.85484080574e-05,1.29157130088e-06
26,8,0.191195304483,directed,None,0.0382390608966,0.0999523574898,1.90954854309e-07,1.61175255817e-10
8,78,0.0578584687274,directed,None,0.0115716937455,11.42445909,5.74646062684e-08,3.40909902807e-10
83,8,0.176861701076,directed,None,0.0353723402152,-5.46238505559,1.04308200922e-07,1.41863359714e-10
220,8,0.206548860339,directed,None,0.0413097720679,-7.015325344,1.0624120927e-07,3.80519267058e-10
8,319,0.17928551013,directed,None,0.035857102026,-7.05299266003,1.7860936031e-07,1.84725333223e-09
